sim_time,wall_time,state,joint,desired_position,actual_position,position_error,desired_velocity,actual_velocity,velocity_error,command_age,base_velocity,base_yaw_rate,base_acceleration,base_yaw_acceleration,drive_effort,estimated_saturated,panel_bottom,panel_width_world_x,panel_length_world_z,base_tilt_degrees,panel_penetration_m,overlap_buffer_full,base_x,base_z,physics_ticks,accepted_commands,rejected_commands,robot_min_x,robot_max_x,robot_min_z,robot_max_z
302.11989295634919,38569.3434264,HOLD,shoulder_pan_joint,1.5707963267948966,1.5731362104415894,-0.0023398836466927975,0,-0.001976293046027422,0.001976293046027422,0.065539000002900138,-0.00039343297248706222,0.0034757135435938835,-0.0023710958243763351,-0.00023405309695611996,-0.69084089994430542,0,0.71393084526062012,0.073812007904052734,1.2004661560058594,0,0,0,7.7426390647888184,-8.6367940902709961,15107,8853,5,7.3759603500366211,8.10932731628418,-9.155426025390625,-7.9549598693847656
302.11989295634919,38569.3434886,HOLD,shoulder_lift_joint,0,0.00587076460942626,-0.00587076460942626,0,-0.020615039393305779,0.020615039393305779,0.0655927999978303,-0.00039343297248706222,0.0034757135435938835,-0.0023710958243763351,-0.00023405309695611996,-10.651947021484375,0,0.71393084526062012,0.073812007904052734,1.2004661560058594,0,0,0,7.7426390647888184,-8.6367940902709961,15107,8853,5,7.3759603500366211,8.10932731628418,-9.155426025390625,-7.9549598693847656
302.11989295634919,38569.3435345,HOLD,elbow_joint,0,0.0015825635055080056,-0.0015825635055080056,0,0.012407692149281502,-0.012407692149281502,0.065639699998428114,-0.00039343297248706222,0.0034757135435938835,-0.0023710958243763351,-0.00023405309695611996,-9.7370195388793945,0,0.71393084526062012,0.073812007904052734,1.2004661560058594,0,0,0,7.7426390647888184,-8.6367940902709961,15107,8853,5,7.3759603500366211,8.10932731628418,-9.155426025390625,-7.9549598693847656
302.11989295634919,38569.3435801,HOLD,wrist_1_joint,0,-0.00031574576860293746,0.00031574576860293746,0,0.0014224450569599867,-0.0014224450569599867,0.065687000002071727,-0.00039343297248706222,0.0034757135435938835,-0.0023710958243763351,-0.00023405309695611996,0.097177833318710327,0,0.71393084526062012,0.073812007904052734,1.2004661560058594,0,0,0,7.7426390647888184,-8.6367940902709961,15107,8853,5,7.3759603500366211,8.10932731628418,-9.155426025390625,-7.9549598693847656
302.11989295634919,38569.3436279,HOLD,wrist_2_joint,1.5707963267948966,1.5857506990432739,-0.014954372248377368,0,-0.00024716055486351252,0.00024716055486351252,0.065735600001062267,-0.00039343297248706222,0.0034757135435938835,-0.0023710958243763351,-0.00023405309695611996,-9.6603488922119141,0,0.71393084526062012,0.073812007904052734,1.2004661560058594,0,0,0,7.7426390647888184,-8.6367940902709961,15107,8853,5,7.3759603500366211,8.10932731628418,-9.155426025390625,-7.9549598693847656
302.11989295634919,38569.3436763,HOLD,wrist_3_joint,0,0.00015656766481697559,-0.00015656766481697559,0,-0.00064959068549796939,0.00064959068549796939,0.065781799996329937,-0.00039343297248706222,0.0034757135435938835,-0.0023710958243763351,-0.00023405309695611996,-0.030198816210031509,0,0.71393084526062012,0.073812007904052734,1.2004661560058594,0,0,0,7.7426390647888184,-8.6367940902709961,15107,8853,5,7.3759603500366211,8.10932731628418,-9.155426025390625,-7.9549598693847656
302.139892949263,38569.3440711,HOLD,shoulder_pan_joint,1.5707963267948966,1.573137640953064,-0.0023413141581674068,0,-0.00196642242372036,0.00196642242372036,0.066181800000777,-0.00039930181810632348,0.0035051268059760332,-0.00029344239683782333,0.0014706636998443015,-0.69066566228866577,0,0.71393084526062012,0.073816776275634766,1.2004661560058594,0,0,0,7.74263858795166,-8.6367940902709961,15108,8853,5,7.3759593963623047,8.1093263626098633,-9.155426025390625,-7.9549598693847656
302.139892949263,38569.3441258,HOLD,shoulder_lift_joint,0,0.0058716023340821266,-0.0058716023340821266,0,-0.020758878439664841,0.020758878439664841,0.066231400000106078,-0.00039930181810632348,0.0035051268059760332,-0.00029344239683782333,0.0014706636998443015,-10.653403282165527,0,0.71393084526062012,0.073816776275634766,1.2004661560058594,0,0,0,7.74263858795166,-8.6367940902709961,15108,8853,5,7.3759593963623047,8.1093263626098633,-9.155426025390625,-7.9549598693847656
302.139892949263,38569.3441732,HOLD,elbow_joint,0,0.0015821453416720033,-0.0015821453416720033,0,0.012482819147408009,-0.012482819147408009,0.06627920000028098,-0.00039930181810632348,0.0035051268059760332,-0.00029344239683782333,0.0014706636998443015,-9.7347192764282227,0,0.71393084526062012,0.073816776275634766,1.2004661560058594,0,0,0,7.74263858795166,-8.6367940902709961,15108,8853,5,7.3759593963623047,8.1093263626098633,-9.155426025390625,-7.9549598693847656
302.139892949263,38569.3442195,HOLD,wrist_1_joint,0,-0.00031476464937441051,0.00031476464937441051,0,0.001557911979034543,-0.001557911979034543,0.0663254999963101,-0.00039930181810632348,0.0035051268059760332,-0.00029344239683782333,0.0014706636998443015,0.091039061546325684,0,0.71393084526062012,0.073816776275634766,1.2004661560058594,0,0,0,7.74263858795166,-8.6367940902709961,15108,8853,5,7.3759593963623047,8.1093263626098633,-9.155426025390625,-7.9549598693847656
